Id,ruolo,Rm,nome,squadra,presenze,media_voto,fanta_media_fc,Gf,gol_subiti,rigori_parati,Rc,R+,R-,assist,ammonizioni,espulsioni,Au,rig_segnati,rig_tirati,gol_pg,assist_pg,ammonizioni_pg,titolarita_pct,xg_pg,gol_subiti_pg,clean_sheet_pg
5455,A,A,Moreo,Pisa,35.0,5.99,6.56,7,0.0,0.0,2,2,0,0.0,2.0,0.0,0,0,0,0.0,0.0,0.057,0.921,0.0,0.0,1.0
2038,A,Pc,Pinamonti,Sassuolo,34.0,5.88,6.62,9,0.0,0.0,1,0,1,3.0,2.0,1.0,0,0,0,0.0,0.088,0.059,0.895,0.0,0.0,1.0
6646,A,A,Adams C.,Torino,32.0,5.98,6.64,6,0.0,0.0,0,0,0,3.0,0.0,0.0,0,0,0,0.0,0.094,0.0,0.842,0.0,0.0,1.0
2369,A,A,Thauvin,Udinese,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2499,A,Pc,Vardy,Cremonese,29.0,5.95,6.62,7,0.0,0.0,0,0,0,1.0,5.0,0.0,0,0,0,0.0,0.034,0.172,0.763,0.0,0.0,1.0
7129,A,W;A,Rodriguez Je.,Como,28.0,6.25,6.66,2,0.0,0.0,0,0,0,8.0,3.0,1.0,0,0,0,0.0,0.286,0.107,0.737,0.0,0.0,1.0
6001,A,W;A,Banda,Lecce,32.0,6.08,6.55,5,0.0,0.0,0,0,0,4.0,6.0,1.0,0,0,0,0.0,0.125,0.188,0.842,0.0,0.0,1.0
4371,A,A,Raspadori,Atalanta,13.0,6.12,6.88,3,0.0,0.0,0,0,0,1.0,0.0,0.0,0,0,0,0.0,0.077,0.0,0.342,0.0,0.0,1.0
2531,A,Pc,Lukaku,Napoli,1.0,7.0,9.5,1,0.0,0.0,0,0,0,0.0,1.0,0.0,0,0,0,0.0,0.0,1.0,0.026,0.0,0.0,1.0
4730,A,A,Lookman,Atalanta,10.0,5.8,6.4,2,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.263,0.0,0.0,1.0
4923,A,Pc,Colombo,Genoa,37.0,5.92,6.41,7,0.0,0.0,2,1,1,1.0,2.0,0.0,0,0,0,0.0,0.027,0.054,0.974,0.0,0.0,1.0
6556,A,A,Noslin,Lazio,23.0,6.02,6.5,4,0.0,0.0,0,0,0,2.0,4.0,1.0,0,0,0,0.0,0.087,0.174,0.605,0.0,0.0,1.0
6552,A,Pc,Orban G.,Verona,28.0,5.82,6.54,7,0.0,0.0,2,2,0,2.0,4.0,1.0,0,0,0,0.0,0.071,0.143,0.737,0.0,0.0,1.0
6164,A,Pc,Vitinha O.,Genoa,31.0,5.95,6.39,5,0.0,0.0,0,0,0,1.0,5.0,0.0,0,0,0,0.0,0.032,0.161,0.816,0.0,0.0,1.0
5544,A,Pc,David,Juventus,30.0,5.77,6.33,6,0.0,0.0,1,0,1,2.0,0.0,0.0,0,0,0,0.0,0.067,0.0,0.789,0.0,0.0,1.0
7120,A,A,Lang,Napoli,14.0,6.04,6.32,1,0.0,0.0,0,0,0,2.0,2.0,0.0,0,0,0,0.0,0.143,0.143,0.368,0.0,0.0,1.0
309,A,A,Dybala,Roma,21.0,6.26,6.74,2,0.0,0.0,1,0,1,7.0,0.0,0.0,0,0,0,0.0,0.333,0.0,0.553,0.0,0.0,1.0
7162,A,A,Giovane,Napoli,31.0,6.0,6.45,3,0.0,0.0,0,0,0,6.0,2.0,0.0,0,0,0,0.0,0.194,0.065,0.816,0.0,0.0,1.0
7199,A,A,Kilicsoy,Cagliari,16.0,6.03,6.78,4,0.0,0.0,0,0,0,0.0,1.0,0.0,0,0,0,0.0,0.0,0.062,0.421,0.0,0.0,1.0
4436,A,A,Cambiaghi,Bologna,24.0,5.98,6.42,3,0.0,0.0,0,0,0,4.0,3.0,1.0,0,0,0,0.0,0.167,0.125,0.632,0.0,0.0,1.0
6967,A,W;A,Diao,Como,16.0,6.0,6.38,2,0.0,0.0,0,0,0,1.0,2.0,0.0,0,0,0,0.0,0.062,0.125,0.421,0.0,0.0,1.0
5506,A,A,Ekuban,Genoa,28.0,5.96,6.43,4,0.0,0.0,0,0,0,1.0,0.0,0.0,0,0,0,0.0,0.036,0.0,0.737,0.0,0.0,1.0
7008,A,Pc,Gimenez,Milan,15.0,5.5,5.53,0,0.0,0.0,0,0,0,1.0,2.0,0.0,0,0,0,0.0,0.067,0.133,0.395,0.0,0.0,1.0
6243,A,Pc,Borrelli,Cagliari,26.0,5.92,6.46,5,0.0,0.0,0,0,0,1.0,4.0,0.0,0,0,0,0.0,0.038,0.154,0.684,0.0,0.0,1.0
4179,A,W;A,Gonzalez N.,Juventus,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5500,A,W;A,Cancellieri,Lazio,28.0,5.93,6.29,4,0.0,0.0,0,0,0,1.0,6.0,0.0,0,0,0,0.0,0.036,0.214,0.737,0.0,0.0,1.0
6439,A,Pc,Cheddira,Lecce,24.0,5.81,6.31,4,0.0,0.0,0,0,0,1.0,3.0,0.0,0,0,0,0.0,0.042,0.125,0.632,0.0,0.0,1.0
2832,A,W;A,Boga,Juventus,13.0,6.19,7.15,4,0.0,0.0,0,0,0,1.0,1.0,0.0,0,0,0,0.0,0.077,0.077,0.342,0.0,0.0,1.0
5515,A,A,Okereke,Cremonese,10.0,5.9,6.5,2,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.263,0.0,0.0,1.0
6822,A,A,Ekhator,Genoa,25.0,5.96,6.28,3,0.0,0.0,0,0,0,0.0,3.0,0.0,0,0,0,0.0,0.0,0.12,0.658,0.0,0.0,1.0
6675,A,Pc,Dovbyk,Roma,13.0,6.0,6.77,3,0.0,0.0,0,0,0,1.0,0.0,0.0,0,0,0,0.0,0.077,0.0,0.342,0.0,0.0,1.0
6365,A,Pc,Ferguson E.,Roma,14.0,6.11,6.86,3,0.0,0.0,0,0,0,2.0,1.0,0.0,0,0,0,0.0,0.143,0.071,0.368,0.0,0.0,1.0
5336,A,Pc,Nzola,Sassuolo,27.0,5.96,6.26,4,0.0,0.0,3,2,1,1.0,2.0,1.0,0,0,0,0.0,0.037,0.074,0.711,0.0,0.0,1.0
2678,A,Pc,Fullkrug,Milan,19.0,5.76,5.76,1,0.0,0.0,1,0,1,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.5,0.0,0.0,1.0
7316,A,Pc,Durosinmi,Pisa,10.0,5.7,6.0,1,0.0,0.0,0,0,0,1.0,1.0,1.0,0,0,0,0.0,0.1,0.1,0.263,0.0,0.0,1.0
7347,A,A,Bowie,Verona,14.0,5.96,6.79,4,0.0,0.0,0,0,0,0.0,1.0,0.0,0,0,0,0.0,0.0,0.071,0.368,0.0,0.0,1.0
5918,A,A,Sulemana K.,Atalanta,21.0,6.0,6.24,2,0.0,0.0,0,0,0,1.0,4.0,0.0,0,0,0,0.0,0.048,0.19,0.553,0.0,0.0,1.0
4359,A,Pc,Piccoli,Fiorentina,27.0,5.78,6.24,4,0.0,0.0,0,0,0,1.0,1.0,0.0,0,0,0,0.0,0.037,0.037,0.711,0.0,0.0,1.0
6145,A,A,Ngonge,Torino,17.0,5.82,6.0,1,0.0,0.0,0,0,0,1.0,2.0,0.0,0,0,0,0.0,0.059,0.118,0.447,0.0,0.0,1.0
7313,A,Pc,Ratkov,Lazio,7.0,5.64,5.64,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.184,0.0,0.0,1.0
6667,A,A,Benedyczak,Parma,10.0,5.95,6.3,1,0.0,0.0,1,1,0,1.0,1.0,0.0,0,0,0,0.0,0.1,0.1,0.263,0.0,0.0,1.0
608,A,Pc,Zapata D.,Torino,23.0,5.83,6.13,3,0.0,0.0,1,0,1,1.0,0.0,0.0,0,0,0,0.0,0.043,0.0,0.605,0.0,0.0,1.0
7252,A,Pc,Stulic,Lecce,30.0,5.73,6.12,4,0.0,0.0,1,1,0,0.0,1.0,0.0,0,0,0,0.0,0.0,0.033,0.789,0.0,0.0,1.0
6380,A,W;A,Solomon,Fiorentina,13.0,5.96,6.46,2,0.0,0.0,0,0,0,1.0,1.0,0.0,0,0,0,0.0,0.077,0.077,0.342,0.0,0.0,1.0
6981,A,Pc,Vaz,Roma,7.0,5.93,6.36,1,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.184,0.0,0.0,1.0
6229,A,Pc,Tourè E.,Atalanta,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5496,A,A,Johnsen,Cremonese,9.0,5.83,6.28,1,0.0,0.0,0,0,0,1.0,0.0,0.0,0,0,0,0.0,0.111,0.0,0.237,0.0,0.0,1.0
7001,A,W;A,N'Dri,Lecce,17.0,5.82,6.09,2,0.0,0.0,0,0,0,0.0,3.0,0.0,0,0,0,0.0,0.0,0.176,0.447,0.0,0.0,1.0
7249,A,Pc,Buksa,Udinese,21.0,5.88,6.24,3,0.0,0.0,0,0,0,0.0,3.0,0.0,0,0,0,0.0,0.0,0.143,0.553,0.0,0.0,1.0
6643,A,Pc,Dallinga,Bologna,19.0,5.82,6.13,2,0.0,0.0,0,0,0,1.0,2.0,0.0,0,0,0,0.0,0.053,0.105,0.5,0.0,0.0,1.0
7127,A,W;A,Addai,Como,12.0,5.96,6.54,3,0.0,0.0,0,0,0,0.0,4.0,0.0,0,0,0,0.0,0.0,0.333,0.316,0.0,0.0,1.0
2155,A,Pc,Cutrone,Parma,14.0,5.71,5.93,1,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.368,0.0,0.0,1.0
6409,A,A,Beltran L.,Fiorentina,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5672,A,Pc,Dia,Lazio,25.0,5.68,5.86,1,0.0,0.0,0,0,0,2.0,1.0,0.0,0,0,0,0.0,0.08,0.04,0.658,0.0,0.0,1.0
6827,A,A,Njie,Torino,10.0,5.8,6.15,1,0.0,0.0,0,0,0,1.0,2.0,0.0,0,0,0,0.0,0.1,0.2,0.263,0.0,0.0,1.0
2475,A,A,Sanchez,Udinese,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7342,A,Pc,Elphege,Parma,8.0,6.0,6.88,2,0.0,0.0,0,0,0,1.0,0.0,0.0,0,0,0,0.0,0.125,0.0,0.211,0.0,0.0,1.0
7128,A,W;A,Kuhn,Como,14.0,5.96,6.25,1,0.0,0.0,0,0,0,1.0,0.0,0.0,0,0,0,0.0,0.071,0.0,0.368,0.0,0.0,1.0
6215,A,Pc,Lucca,Napoli,9.0,5.72,6.0,1,0.0,0.0,0,0,0,0.0,1.0,0.0,0,0,0,0.0,0.0,0.111,0.237,0.0,0.0,1.0
5471,A,Pc,Djuric,Cremonese,9.0,6.0,6.0,0,0.0,0.0,0,0,0,1.0,2.0,0.0,0,0,0,0.0,0.111,0.222,0.237,0.0,0.0,1.0
6836,A,Pc,Meister,Pisa,27.0,5.65,5.83,2,0.0,0.0,0,0,0,0.0,2.0,0.0,0,0,0,0.0,0.0,0.074,0.711,0.0,0.0,1.0
6205,A,Pc,Mulattieri,Sassuolo,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
441,A,Pc,Belotti,Cagliari,4.0,6.12,7.62,2,0.0,0.0,1,1,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.105,0.0,0.0,1.0
7272,A,Pc,Gueye,Udinese,13.0,5.77,5.92,1,0.0,0.0,0,0,0,0.0,2.0,0.0,0,0,0,0.0,0.0,0.154,0.342,0.0,0.0,1.0
7374,A,Pc,Mendy P.,Cagliari,8.0,5.94,6.62,2,0.0,0.0,0,0,0,0.0,1.0,0.0,0,0,0,0.0,0.0,0.125,0.211,0.0,0.0,1.0
785,A,Pc,Immobile,Bologna,6.0,5.58,5.5,0,0.0,0.0,0,0,0,0.0,1.0,0.0,0,0,0,0.0,0.0,0.167,0.158,0.0,0.0,1.0
6628,A,Pc,Taremi,Inter,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6227,A,A,Okafor,Milan,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7153,A,Pc,Lind,Pisa,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
479,A,Pc,Sanabria,Cremonese,23.0,5.76,5.89,1,0.0,0.0,0,0,0,1.0,2.0,0.0,0,0,0,0.0,0.043,0.087,0.605,0.0,0.0,1.0
6653,A,A,Bravo,Udinese,4.0,6.0,6.62,1,0.0,0.0,0,0,0,0.0,1.0,0.0,0,0,0,0.0,0.0,0.25,0.105,0.0,0.0,1.0
6159,A,A,Sarr A.,Verona,29.0,5.67,5.64,0,0.0,0.0,0,0,0,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,0.763,0.0,0.0,1.0
6630,A,Pc,Mosquera,Verona,14.0,5.96,6.07,0,0.0,0.0,0,0,0,2.0,1.0,0.0,0,0,0,0.0,0.143,0.071,0.368,0.0,0.0,1.0
6314,A,Pc,Openda,Juventus,14.0,5.79,6.0,1,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.368,0.0,0.0,1.0
7344,A,Pc,Stojilkovic,Pisa,12.0,5.58,5.58,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.316,0.0,0.0,1.0
7349,A,Pc,Kulenovic,Torino,7.0,5.71,5.79,0,0.0,0.0,0,0,0,1.0,2.0,0.0,0,0,0,0.0,0.143,0.286,0.184,0.0,0.0,1.0
6895,A,W;A,Dominguez B.,Bologna,12.0,5.83,6.04,0,0.0,0.0,0,0,0,3.0,1.0,0.0,0,0,0,0.0,0.25,0.083,0.316,0.0,0.0,1.0
6459,A,W;A,Karlsson,Bologna,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5297,A,A,Luvumbo,Cagliari,10.0,5.8,5.8,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.263,0.0,0.0,1.0
247,A,Pc,Pavoletti,Cagliari,6.0,6.0,6.42,1,0.0,0.0,0,0,0,0.0,1.0,0.0,0,0,0,0.0,0.0,0.167,0.158,0.0,0.0,1.0
5512,A,Pc,De Luca,Cremonese,1.0,7.0,10.0,1,0.0,0.0,1,1,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.026,0.0,0.0,1.0
647,A,Pc,Dzeko,Fiorentina,8.0,5.62,5.56,0,0.0,0.0,0,0,0,0.0,1.0,0.0,0,0,0,0.0,0.0,0.125,0.211,0.0,0.0,1.0
6207,A,W;A,Almqvist,Parma,9.0,5.94,6.06,0,0.0,0.0,0,0,0,1.0,0.0,0.0,0,0,0,0.0,0.111,0.0,0.237,0.0,0.0,1.0
6213,A,A,Brenner,Udinese,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6644,A,Pc,Rocha Livramento,Verona,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6519,A,Pc,Camarda,Lecce,18.0,5.67,5.64,1,0.0,0.0,1,0,1,0.0,1.0,0.0,0,0,0,0.0,0.0,0.056,0.474,0.0,0.0,1.0
1842,A,A,Pierini,Sassuolo,4.0,6.0,5.88,0,0.0,0.0,0,0,0,0.0,1.0,0.0,0,0,0,0.0,0.0,0.25,0.105,0.0,0.0,1.0
5845,A,Pc,Alvarez A.,Sassuolo,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7161,A,Pc,Bayo V.,Udinese,12.0,5.75,5.83,0,0.0,0.0,0,0,0,1.0,0.0,0.0,0,0,0,0.0,0.083,0.0,0.316,0.0,0.0,1.0
313,A,Pc,Morata,Como,17.0,5.5,5.21,0,0.0,0.0,1,0,1,0.0,2.0,1.0,0,0,0,0.0,0.0,0.118,0.447,0.0,0.0,1.0
7239,A,Pc,Braschi,Fiorentina,2.0,5.75,5.75,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.053,0.0,0.0,1.0
7264,A,Pc,Ambrosino,Napoli,1.0,5.5,5.5,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.026,0.0,0.0,1.0
6555,A,Pc,Moumbagna,Cremonese,5.0,5.6,5.6,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.132,0.0,0.0,1.0
7338,A,A,Albarracin,Cagliari,2.0,6.0,6.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.053,0.0,0.0,1.0
7381,A,Pc,Mikolajewski,Parma,1.0,6.0,6.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.026,0.0,0.0,1.0
7027,A,Pc,Azon,Como,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6657,A,Pc,Gabrielloni,Como,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7134,A,Pc,Nasti,Cremonese,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2012,A,Pc,Milik,Juventus,2.0,6.0,6.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.053,0.0,0.0,1.0
7171,A,A,Buffon L.,Pisa,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7152,A,Pc,Bonfanti N.,Pisa,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7158,A,Pc,Moro L.,Sassuolo,6.0,5.58,5.5,0,0.0,0.0,0,0,0,0.0,1.0,0.0,0,0,0,0.0,0.0,0.167,0.158,0.0,0.0,1.0
7159,A,Pc,Skjellerup,Sassuolo,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6635,A,Pc,Pizarro,Udinese,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7183,A,A,Aboukhlal,Torino,11.0,5.77,5.64,0,0.0,0.0,0,0,0,0.0,4.0,0.0,0,0,0,0.0,0.0,0.364,0.289,0.0,0.0,1.0
7213,A,Pc,Frigan,Parma,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2762,A,A,Kouamè,Fiorentina,1.0,6.0,6.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.026,0.0,0.0,1.0
7262,A,A,Balentien,Milan,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7277,A,Pc,Arena A.,Roma,1.0,6.0,6.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.026,0.0,0.0,1.0
7309,A,Pc,Isaac,Verona,1.0,6.0,6.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.026,0.0,0.0,1.0
7317,A,Pc,Trepy,Cagliari,3.0,5.67,5.67,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.079,0.0,0.0,1.0
7368,A,Pc,Vermesan,Verona,1.0,6.5,6.5,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.026,0.0,0.0,1.0
7388,A,A,Mosconi,Inter,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
